Posted_date,Job Title,Country,Company,Skill
10-29-2024,IT project manager,Germany,Wolters Kluwer,"Software Development,R"
12-10-2024,IT project manager,Germany,Compile,"Software Development,R"
10-30-2024,IT project manager,Germany,NTT Data Services,"Analytics,Gin,MAN,Data Management,Data Engineering,R"
10-29-2024,IT project manager,Germany,Wolters Kluwer,"Software Development,R"
12-02-2024,IT project manager,Germany,Vertiv,R
10-30-2024,IT project manager,Germany,JPMorgan Chase,"Software Development,R"
10-24-2024,IT project manager,Germany,Wolters Kluwer,R
11-02-2023,IT project manager,Germany,Photon,R
10-29-2024,IT project manager,Germany,McKesson,"LAN,R"
08-30-2024,IT project manager,Germany,SHIELD AI,"Gin,R"
12-06-2024,IT project manager,Germany,Texas Instruments,"Analytics,Gin,MAN,Data Management,Data Engineering,R"
11-20-2024,IT project manager,Germany,Lockheed Martin Corporation,"Software Development,R"
07-10-2024,IT project manager,Germany,Topaz Labs,"Software Development,R"
11-08-2024,IT project manager,Germany,SHIELD AI,R
05-31-2023,IT project manager,Germany,Brock Solutions,"Gin,Data Engineering,R"
08-30-2024,IT project manager,Germany,Celestica,"LAN,R"
12-02-2024,IT project manager,Germany,Micron,R
12-02-2024,IT project manager,Germany,Vertiv,R
11-08-2024,IT project manager,Germany,SHIELD AI,R
11-02-2023,IT project manager,Germany,Photon,R
10-30-2024,IT project manager,Germany,NTT Data Services,"Analytics,Gin,MAN,Data Management,Data Engineering,R"
12-06-2024,IT project manager,Germany,Texas Instruments,"Analytics,Gin,MAN,Data Management,Data Engineering,R"
10-29-2024,IT project manager,Germany,Wolters Kluwer,"Software Development,R"
10-30-2024,IT project manager,Germany,JPMorgan Chase,"Software Development,R"
12-02-2024,IT project manager,Germany,Micron,R
08-30-2024,IT project manager,Germany,SHIELD AI,"Gin,R"
10-29-2024,IT project manager,Germany,McKesson,"LAN,R"
11-20-2024,IT project manager,Germany,Lockheed Martin Corporation,"Software Development,R"
07-10-2024,IT project manager,Germany,Topaz Labs,"Software Development,R"
07-10-2024,IT project manager,Germany,Topaz Labs,"Software Development,R"
01-09-2024,IT project manager,Germany,Fidelity TalentSource,"LAN,R"
11-05-2024,IT project manager,Germany,Sanmina Corporation,R
11-26-2024,IT project manager,Germany,Photon,"Software Development,R"
10-15-2024,IT project manager,Germany,Berry Appleman &amp; Leiden LLP,"Software Development,R"
12-05-2024,IT project manager,Germany,Topaz Labs,"LAN,R"
12-07-2024,IT project manager,Germany,Wells Fargo,"Analytics,Gin,MAN,Data Management,Data Engineering,R"
11-22-2024,IT project manager,Germany,Inclusion Cloud,"Software Development,R"
12-06-2024,IT project manager,Germany,Fidelity Investments,"Analytics,Gin,MAN,Data Management,Data Engineering,R"
12-09-2024,IT project manager,Germany,Cognizant,"LAN,R"
10-16-2024,IT project manager,Germany,d3v Technology Solutions,"Gin,Data Engineering,R"
07-08-2024,IT project manager,Germany,Texas Instruments,R
08-30-2024,IT project manager,Germany,SHIELD AI,"Leadership,R"
11-04-2024,IT project manager,Germany,The Hartford,"Gin,Data Engineering,R"
07-09-2024,IT project manager,Germany,Qorvo,R
09-13-2024,IT project manager,Germany,G-Research,R
08-29-2024,IT project manager,Germany,SHIELD AI,R
11-12-2024,IT project manager,Germany,JPMorgan Chase,"MAN,Asset Management,R"
01-30-2024,IT project manager,Germany,TEK NINJAS,R
05-14-2024,IT project manager,Germany,Analog Devices,"LAN,R"
10-02-2024,IT project manager,Germany,"Ryan, LLC","Software Development,R"
12-09-2024,IT project manager,Germany,Cognizant,"LAN,R"
10-10-2024,IT project manager,Germany,NTT Data Services,"Software Development,R"
10-25-2024,IT project manager,Germany,NTT Data Services,"LAN,R"
10-02-2024,IT project manager,Germany,"Ryan, LLC","Software Development,R"
10-28-2024,IT project manager,Germany,NTT Data Services,"LAN,R"
08-22-2024,IT project manager,Germany,SHIELD AI,"Gin,R"
11-05-2024,IT project manager,Germany,NTT Data Services,R
08-09-2024,IT project manager,Germany,Fortinet,"Software Development,R"
10-25-2024,IT project manager,Germany,NTT Data Services,"LAN,R"
07-24-2024,IT project manager,Germany,Micron,R
11-13-2024,IT project manager,Germany,AppFolio,"MAN,Project Management,R"
