ID,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
74,11-25-2024,AI engineer,Software Engineering Manager,PepsiCo,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0fb965a11f33a21c3ef029f421a814cd,Germany,"Plano, TX","Software Development,R","$125,000 - $217,500 ",indeed.com
75,11-21-2024,AI engineer,Technology Lead,Infosys,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3da3b97b6f16b9eaf7b736ff548625f2,Germany,"Richardson, TX","LAN,R",NA,indeed.com
76,10-11-2024,AI engineer,IOS Mobile Application Developer,Adidev Technologies Inc,NA,Germany,"Plano, TX",R,$30 - $40 an hour,indeed.com
77,10-17-2024,AI engineer,Senior Mobile Engineer - Android,Toyota Tsusho Systems,NA,Germany,"Plano, TX","Software Development,R",$90 - $95 a day,indeed.com
78,09-05-2024,AI engineer,Share Point Developer,"Contact Government Services, LLC",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/cf012d8eb60e397348957f44d74d570e,Germany,"Plano, TX","LAN,R","$108,714 - $147,541 ",indeed.com
79,07-26-2024,AI engineer,Sr. Mobile Software Engineering Manager,Care.com,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3b60a0a1c76864e9b9d826fa8a52d240,Germany,"Dallas, TX","LAN,R","$170,000 - $200,000 ",indeed.com
80,10-18-2024,AI engineer,Entry - Mid Level Mobile App Developer,Adidev Technologies Inc,NA,Germany,"Dallas, TX",R,$30 - $40 an hour,indeed.com
81,10-21-2024,AI engineer,Sr. Enterprise Architect,"Contact Government Services, LLC",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/cf012d8eb60e397348957f44d74d570e,Germany,"Dallas, TX",R,"$162,240.00 - $234,346.67 ",indeed.com
82,10-12-2018,AI engineer,Unique UI/UX Designer and JavaScript Technical Developer,Crossroads Technologies,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c45d88bbaea5c37ebf0beab6c669c21a,Germany,"Dallas, TX",R,NA,indeed.com
83,08-30-2024,AI engineer,Enterprise Architect,"Contact Government Services, LLC",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/cf012d8eb60e397348957f44d74d570e,Germany,"Dallas, TX",R,"$126,186.67 - $171,253.34 ",indeed.com
84,04-17-2019,AI engineer,Senior Application Developer – Python / Django / Angular,Crossroads Technologies,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c45d88bbaea5c37ebf0beab6c669c21a,Germany,"Dallas, TX",R,NA,indeed.com
85,11-22-2024,AI engineer,iOS and Android Mobile Application Developer (Entry - Mid),Adidev Technologies Inc,NA,Germany,"Irving, TX","LAN,R",$30 - $40 an hour,indeed.com
86,10-09-2024,AI engineer,Sr. Share Point Developer,"Contact Government Services, LLC",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/cf012d8eb60e397348957f44d74d570e,Germany,"Dallas, TX","LAN,R","$139,776 - $201,898 ",indeed.com
87,04-17-2019,AI engineer,Front-End Web App Developer – Angular,Crossroads Technologies,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c45d88bbaea5c37ebf0beab6c669c21a,Germany,"Dallas, TX","MAN,Project Management,R",NA,indeed.com
