id,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
81,08-07-2024,Cloud Architect,Sr Cybersecurity Analyst - Data Analytics &amp; Automation,GM Financial,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/bff0fc0ab326c4a104bc7b7fc33dfdd8,Germany,"Arlington, TX","Asset Management,R,MAN",NA,indeed.com
82,11-05-2024,Cloud Architect,SAP Security Analyst (Hybrid),Trace3,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e83c23b3874abe24a2492a5772c618fd,Germany,"Dallas, TX",R,"$90,000 - $100,000 ",indeed.com
83,04-05-2017,Cloud Architect,Vulnerability Management / Security Engineer,Sonoma Consulting Inc.,NA,Germany,"Plano, TX",R,NA,indeed.com
84,10-01-2024,Cloud Architect,Network Security Tester,Indeed,NA,Germany,"Irving, TX",R,NA,indeed.com
85,05-08-2017,Cloud Architect,Threat Analyst,Sonoma Consulting Inc.,NA,Germany,"Plano, TX",NA,NA,indeed.com
86,06-21-2017,Cloud Architect,DLP Security Analyst,Sonoma Consulting Inc.,NA,Germany,"Plano, TX",R,NA,indeed.com
87,09-18-2024,Cloud Architect,Cyber Remediation Analyst - USA,CyberInt,NA,Germany,"Dallas, TX",R,NA,indeed.com
88,08-27-2024,Cloud Architect,IT Systems Analyst,Scout Energy Management,NA,Germany,"Dallas, TX","Software Development,R",NA,indeed.com
89,06-21-2017,Cloud Architect,SIEM Security Analyst,Sonoma Consulting Inc.,NA,Germany,"Plano, TX",NA,NA,indeed.com
90,08-22-2024,Cloud Architect,GRC Analyst,Indeed,NA,Germany,"Dallas, TX","RDS,R","Up to $55,000 ",indeed.com
91,11-28-2023,Cloud Architect,Hybrid Work - Need PORTFOLIO ANALYST-locals in Dallas TX,Steneral Consulting,NA,Germany,"Dallas, TX",R,NA,indeed.com
92,04-15-2024,Cloud Architect,SOC Analyst III,Armor Defense Inc,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/976dcdf4309333ad52a654761278abcc,Germany,"Plano, TX","Software Development,R",NA,indeed.com
93,07-23-2024,Cloud Architect,Digital Forensic Analyst I,"Contact Government Services, LLC",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/cf012d8eb60e397348957f44d74d570e,Germany,"Dallas, TX","LAN,R","$63,093.33 - $85,626.66 ",indeed.com
94,11-22-2024,Cloud Architect,Cybersecurity Analyst,Evolus,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/beaad8c8925ab6b1d098073fad61f1c2,Germany,"Newport Beach, CA",R,"$87,000 - $108,000 ",indeed.com
95,12-03-2024,Cloud Architect,Security Analyst,Indeed,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/a33b0cb86e5737058f948a39f896ec63,Germany,Remote,"Project Management,R,MAN",NA,indeed.com
96,12-10-2024,Cloud Architect,IT Security Analyst,Indeed,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/50233504cc425f42f60b1c0518a49914,Germany,Remote,"R,Leadership",Up to $40 an hour,indeed.com
97,12-03-2024,Cloud Architect,Security Analyst(IAM),Indeed,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/446320cc2cce87955c648f58d8499e49,Germany,Remote,R,$34.02 - $40.97 an hour,indeed.com
98,10-02-2024,Cloud Architect,Cyber Security Analyst,Indeed,NA,Germany,"Tallahassee, FL","Authorization,R",From $60 an hour,indeed.com
99,11-18-2024,Cloud Architect,IT Security Analyst,Wpromote,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e07c5ed3f33ce2d20f0d6fd440bf6268,Germany,Remote,R,"$85,000 - $110,000 ",indeed.com
100,10-02-2024,Cloud Architect,Cyber Security Analyst,Indeed,NA,Germany,Remote,R,"$85,000 - $99,000 ",indeed.com
101,11-12-2024,Cloud Architect,Cyber Security Analyst-I,Indeed,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f198591fc685f21e783bac08d0ed1086,Germany,"Baltimore, MD","Software Development,R",$48 - $53 an hour,indeed.com
102,07-23-2024,Cloud Architect,Security Analyst I ( remote ),AssistRx,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/247b68cc22e6324020084f0a68c7aa2f,Germany,"Orlando, FL",R,NA,indeed.com
103,11-18-2024,Cloud Architect,Systems Analyst,Northeast Alabama Regional Medical Center,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/6c621463f80769ee157e6f1995a8ba9d,Germany,"Anniston, AL",R,NA,indeed.com
104,07-23-2024,Cloud Architect,Digital Forensic Analyst I,"Contact Government Services, LLC",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/cf012d8eb60e397348957f44d74d570e,Germany,"Anniston, AL","LAN,R","$63,093.33 - $85,626.66 ",indeed.com
